filename,Chewy(bread),Watery(like soup),Crunchy(vegetables  not chips or fried food),Crispy(Fried food/chips/toast),Soft(rice  noodles  bread),Tender(meat  shrimp  etc),Creamy(pudding  thick soup  egg yolk),Crumbly(Pie  tart  cookie)
00000000.jpg,1,0,1,0,1,0,0,0
00000001.jpg,0,0,1,0,1,0,1,0
00000002.jpg,1,0,0,0,1,0,0,0
00000003.jpg,1,0,1,0,0,0,0,0
00000004.jpg,1,0,1,0,1,1,0,0
00000005.jpg,1,0,1,0,1,0,0,0
00000006.jpg,1,0,1,0,1,1,1,0
00000007.jpg,1,0,0,0,1,1,0,0
00000008.jpg,1,0,0,0,1,0,1,0
00000009.jpg,1,0,1,0,0,1,0,0
00000010.jpg,0,0,0,0,0,0,1,1
00000011.jpg,0,0,0,1,0,0,1,0
00000012.jpg,0,0,0,0,1,0,1,0
00000013.jpg,1,0,1,0,1,1,1,0
00000014.jpg,1,0,1,0,0,1,0,0
00000015.jpg,0,0,1,0,0,1,0,0
00000016.jpg,0,0,1,0,1,1,0,0
00000017.jpg,1,0,0,1,1,1,0,0
00000018.jpg,1,0,1,0,1,1,0,0
00000020.jpg,0,0,1,0,1,0,1,0
00000021.jpg,1,0,0,0,1,0,0,0
00000022.jpg,0,1,1,0,1,0,0,0
00000023.jpg,0,0,1,0,0,0,1,0
00000024.jpg,1,0,1,0,1,1,0,0
00000025.jpg,1,0,1,0,0,1,0,0
00000026.jpg,1,0,1,0,0,1,0,0
00000027.jpg,1,0,1,0,1,0,0,0
00000028.jpg,1,0,1,0,1,0,0,0
00000029.jpg,1,0,1,0,1,1,0,0
00000030.jpg,0,0,1,0,1,0,0,0
00000031.jpg,1,0,1,0,1,0,0,0
00000032.jpg,1,0,1,0,0,1,1,0
00000033.jpg,1,0,1,0,0,1,1,0
00000034.jpg,1,0,1,0,1,0,0,0
00000035.jpg,1,0,1,0,1,0,0,0
00000036.jpg,0,1,0,0,0,0,0,1
00000037.jpg,1,0,0,0,0,0,1,0
00000038.jpg,0,1,1,0,1,0,0,0
00000039.jpg,1,0,1,0,1,0,0,0
00000040.jpg,1,0,1,0,0,0,0,0
00000041.jpg,0,0,1,0,1,1,0,0
00000042.jpg,1,0,1,0,0,1,1,0
00000043.jpg,0,0,0,0,1,0,1,0
00000044.jpg,0,0,1,0,1,1,0,0
00000045.jpg,1,0,1,0,1,0,0,0
00000046.jpg,1,0,1,0,1,1,0,0
00000047.jpg,1,0,1,0,1,1,0,0
00000049.jpg,0,0,1,0,0,0,0,0
00000050.jpg,1,0,1,0,1,1,0,0
00000051.jpg,1,0,1,0,1,0,1,0
00000052.jpg,1,0,1,0,1,0,0,0
00000053.jpg,1,0,0,1,1,1,0,0
00000054.jpg,0,0,1,0,0,0,1,1
00000055.jpg,1,0,0,0,1,0,0,0
00000056.jpg,1,0,1,0,0,1,0,0
00000057.jpg,1,0,1,0,1,0,1,0
00000058.jpg,0,0,1,0,1,0,1,0
00000059.jpg,1,0,0,0,1,0,1,0
00000060.jpg,0,0,0,1,1,0,1,0
00000061.jpg,0,0,1,0,1,0,0,0
00000062.jpg,1,0,0,0,1,0,1,0
00000063.jpg,0,1,1,0,1,0,0,0
00000064.jpg,1,0,0,0,0,0,1,0
00000065.jpg,0,1,0,0,1,0,0,0
00000066.jpg,1,0,1,0,1,1,0,0
00000067.jpg,0,0,1,0,1,1,0,0
00000068.jpg,1,1,1,0,1,0,1,0
00000069.jpg,1,0,0,0,1,0,0,0
00000070.jpg,1,0,1,1,1,1,0,0
00000071.jpg,1,0,1,1,1,0,1,0
00000072.jpg,0,0,1,0,1,1,1,0
00000073.jpg,1,0,0,0,1,0,0,0
00000075.jpg,0,0,0,0,1,0,1,0
00000076.jpg,1,0,1,0,1,0,0,0
00000077.jpg,1,0,1,0,1,0,0,0
00000078.jpg,0,0,1,0,1,0,0,0
00000079.jpg,1,0,0,0,1,0,0,0
00000080.jpg,1,0,0,0,1,0,1,0
00000081.jpg,1,0,0,0,1,0,0,0
00000082.jpg,1,0,1,0,1,0,1,0
00000083.jpg,0,0,1,0,0,0,1,0
00000084.jpg,1,0,1,0,1,1,1,0
00000085.jpg,1,0,1,0,1,1,0,0
00000086.jpg,1,0,1,0,1,1,0,0
00000087.jpg,0,0,1,0,1,0,1,0
00000088.jpg,1,0,1,0,1,0,0,0
00000089.jpg,1,0,1,0,1,1,0,0
00000090.jpg,0,0,1,0,1,0,1,0
00000091.jpg,1,0,1,0,1,0,0,0
00000092.jpg,1,0,1,0,1,0,0,0
00000093.jpg,0,0,1,0,1,0,1,0
00000094.jpg,1,0,1,1,1,1,1,0
00000095.jpg,1,0,1,0,1,0,1,0
00000096.jpg,1,0,1,0,1,1,0,0
00000097.jpg,0,0,0,0,1,0,1,0
00000098.jpg,0,0,1,0,1,1,0,0
00000099.jpg,1,0,1,1,0,0,1,0
00000100.jpg,1,0,1,0,1,1,0,0
00000101.jpg,1,0,1,0,1,1,1,0
00000102.jpg,0,0,0,0,1,0,1,0
00000103.jpg,1,0,0,0,1,1,0,0
00000104.jpg,1,0,1,0,1,1,0,0
00000105.jpg,0,0,1,0,1,0,0,0
00000106.jpg,1,1,0,0,1,0,1,0
00000107.jpg,1,0,0,0,0,1,1,0
00000108.jpg,1,0,0,0,0,1,1,0
00000109.jpg,0,0,0,0,1,0,0,1
00000110.jpg,0,0,1,0,1,1,0,0
00000111.jpg,1,0,1,0,1,0,0,0
00000112.jpg,0,0,0,0,1,0,1,0
00000113.jpg,1,0,1,0,1,0,0,0
00000114.jpg,1,0,1,0,1,1,0,0
00000115.jpg,1,0,1,0,1,1,1,0
00000116.jpg,1,0,0,0,1,0,0,0
00000117.jpg,1,0,0,0,1,1,0,0
00000118.jpg,1,0,1,0,0,0,0,0
00000119.jpg,1,0,1,0,1,1,0,0
00000120.jpg,1,0,1,0,1,1,1,0
00000121.jpg,0,0,0,0,1,0,1,0
00000122.jpg,0,0,0,0,1,0,1,0
00000123.jpg,1,0,0,0,1,0,0,0
00000124.jpg,1,0,0,0,1,1,0,0
00000125.jpg,1,0,1,0,1,1,0,0
00000126.jpg,0,0,0,0,1,0,1,0
00000127.jpg,0,0,0,0,1,0,1,0
00000128.jpg,1,0,1,0,1,1,0,0
00000129.jpg,0,0,0,0,1,0,1,0
00000130.jpg,1,0,0,0,1,0,0,0
00000131.jpg,1,0,1,0,0,1,1,0
00000132.jpg,1,1,0,0,1,0,1,0
00000133.jpg,1,0,1,0,1,0,1,0
00000134.jpg,1,0,1,0,1,1,0,0
00000135.jpg,1,0,0,0,1,1,0,0
00000136.jpg,1,0,1,0,1,1,1,0
00000137.jpg,1,0,0,0,1,0,0,0
00000140.jpg,0,0,1,0,1,0,0,0
00000141.jpg,0,1,0,0,0,0,1,0
00000142.jpg,1,0,1,0,1,0,0,0
00000143.jpg,1,0,1,0,0,1,0,0
00000144.jpg,1,0,1,0,0,0,0,0
00000145.jpg,0,0,1,0,1,0,0,0
00000146.jpg,0,0,0,1,0,0,1,0
